degree,frequency,probability,cumulative_probability,complementary_cumulative
51,1,0.00015351550506601167,0.9912496162112376,0.008903899293828373
52,1,0.00015351550506601167,0.9914031317163037,0.008750383788762335
54,2,0.00030703101013202335,0.9917101627264358,0.008596868283696272
57,2,0.00030703101013202335,0.9920171937365678,0.008289837273564197
58,1,0.00015351550506601167,0.9921707092416339,0.007982806263432148
59,1,0.00015351550506601167,0.9923242247466999,0.00782929075836611
60,1,0.00015351550506601167,0.9924777402517659,0.007675775253300073
62,1,0.00015351550506601167,0.992631255756832,0.007522259748234035
66,2,0.00030703101013202335,0.992938286766964,0.007368744243167972
68,1,0.00015351550506601167,0.9930918022720301,0.007061713233035923
69,1,0.00015351550506601167,0.9932453177770961,0.006908197727969885
71,3,0.000460546515198035,0.9937058642922941,0.006754682222903908
78,1,0.00015351550506601167,0.9938593797973602,0.006294135707705846
79,1,0.00015351550506601167,0.9940128953024262,0.006140620202639809
80,1,0.00015351550506601167,0.9941664108074922,0.005987104697573771
83,1,0.00015351550506601167,0.9943199263125583,0.005833589192507734
86,1,0.00015351550506601167,0.9944734418176243,0.005680073687441696
88,1,0.00015351550506601167,0.9946269573226904,0.005526558182375659
90,1,0.00015351550506601167,0.9947804728277564,0.005373042677309621
91,1,0.00015351550506601167,0.9949339883328224,0.005219527172243584
95,3,0.000460546515198035,0.9953945348480204,0.005066011667177606
100,1,0.00015351550506601167,0.9955480503530865,0.004605465151979545
101,1,0.00015351550506601167,0.9957015658581525,0.004451949646913507
110,1,0.00015351550506601167,0.9958550813632185,0.00429843414184747
114,1,0.00015351550506601167,0.9960085968682846,0.004144918636781432
115,1,0.00015351550506601167,0.9961621123733506,0.003991403131715395
116,1,0.00015351550506601167,0.9963156278784167,0.0038378876266493573
117,1,0.00015351550506601167,0.9964691433834827,0.00368437212158332
118,2,0.00030703101013202335,0.9967761743936148,0.0035308566165172567
119,1,0.00015351550506601167,0.9969296898986808,0.0032238256063852073
121,1,0.00015351550506601167,0.9970832054037468,0.0030703101013191698
123,1,0.00015351550506601167,0.9972367209088129,0.0029167945962531323
125,1,0.00015351550506601167,0.9973902364138789,0.0027632790911870948
127,1,0.00015351550506601167,0.997543751918945,0.0026097635861210573
131,1,0.00015351550506601167,0.997697267424011,0.0024562480810550198
138,1,0.00015351550506601167,0.997850782929077,0.0023027325759889822
142,1,0.00015351550506601167,0.9980042984341431,0.0021492170709229447
145,1,0.00015351550506601167,0.9981578139392091,0.0019957015658569072
157,1,0.00015351550506601167,0.9983113294442751,0.00184218606079087
179,1,0.00015351550506601167,0.9984648449493412,0.0016886705557248324
181,1,0.00015351550506601167,0.9986183604544072,0.001535155050658795
186,1,0.00015351550506601167,0.9987718759594733,0.0013816395455927574
188,1,0.00015351550506601167,0.9989253914645393,0.00122812404052672
219,1,0.00015351550506601167,0.9990789069696053,0.0010746085354606824
233,1,0.00015351550506601167,0.9992324224746714,0.0009210930303946449
272,1,0.00015351550506601167,0.9993859379797374,0.0007675775253286074
307,1,0.00015351550506601167,0.9995394534848034,0.0006140620202625699
310,1,0.00015351550506601167,0.9996929689898695,0.0004605465151965324
317,1,0.00015351550506601167,0.9998464844949355,0.0003070310101304949
359,1,0.00015351550506601167,1.0000000000000016,0.00015351550506445736
