node,clustering_coefficient,node_type,weight,label,degree,repo_id,repo_name,community_id,community_size
R_510607652,0.0,Repo,1,R_510607652,56,510607652,pocketbase/pocketbase,3,24
R_49670957,0.0,Repo,1,R_49670957,21,49670957,eclipse/rdf4j,0,28
R_644742603,1.0,Repo,1,R_644742603,12,644742603,cloudberrydb/cloudberrydb,5,18
R_507829396,0.0,Repo,1,R_507829396,13,507829396,openGemini/openGemini,2,25
R_125234630,0.0,Repo,1,R_125234630,9,125234630,danielealbano/cachegrand,7,7
R_23247808,0.0,Repo,1,R_23247808,32,23247808,rqlite/rqlite,3,24
R_124315604,0.0,Repo,1,R_124315604,3,124315604,aerospike/aerospike-server,2,25
R_39519916,0.0,Repo,1,R_39519916,3,39519916,percona/percona-server-mongodb,3,24
R_473235285,0.0,Repo,1,R_473235285,14,473235285,polarsignals/frostdb,3,24
R_207663235,0.0,Repo,1,R_207663235,7,207663235,cmu-db/bustub,6,9
R_168712350,0.0,Repo,1,R_168712350,15,168712350,Snapchat/KeyDB,7,7
R_90541149,0.5,Repo,1,R_90541149,34,90541149,heavyai/heavydb,4,22
R_291675222,0.0,Repo,1,R_291675222,6,291675222,hstreamdb/hstream,6,9
R_5683653,0.6666666666666666,Repo,1,R_5683653,12,5683653,apache/drill,1,25
R_3788366,0.0,Repo,1,R_3788366,13,3788366,openlink/virtuoso-opensource,0,28
R_92329433,0.0,Repo,1,R_92329433,12,92329433,canonical/dqlite,3,24
R_528766495,1.0,Repo,1,R_528766495,14,528766495,TuGraph-family/tugraph-db,2,25
R_73235061,0.0,Repo,1,R_73235061,14,73235061,rayokota/hgraphdb,0,28
R_206403,0.0,Repo,1,R_206403,7,206403,apache/jackrabbit,5,18
R_50594316,0.0,Repo,1,R_50594316,5,50594316,senx/warp10-platform,4,22
R_679889516,0.0,Repo,1,R_679889516,19,679889516,fireproof-storage/fireproof,0,28
R_7502247,0.0,Repo,1,R_7502247,13,7502247,lealone/Lealone,5,18
R_349627612,0.0,Repo,1,R_349627612,14,349627612,khonsulabs/bonsaidb,2,25
R_49401416,0.0,Repo,1,R_49401416,9,49401416,spacejam/sled,2,25
R_9074548,0.0,Repo,1,R_9074548,8,9074548,orbisgis/h2gis,5,18
R_52507351,0.0,Repo,1,R_52507351,8,52507351,diennea/herddb,0,28
R_453191009,0.0,Repo,1,R_453191009,7,453191009,ostafen/clover,3,24
R_321853986,0.0,Repo,1,R_321853986,3,321853986,Tencent/Tendis,2,25
R_8039659,0.0,Repo,1,R_8039659,7,8039659,kairosdb/kairosdb,5,18
R_722854801,0.0,Repo,1,R_722854801,4,722854801,oasysai/oasysdb,2,25
R_7561862,0.0,Repo,1,R_7561862,3,7561862,ideawu/ssdb,2,25
