repo_id,repo_name,repo_name_used,i_pr_rec_cnt,repo_created_at,category_label
31006158,apache/ignite,apache/ignite,4719,2015-02-19T08:00:05Z,Key-value
254418044,,tigerbeetledb/tigerbeetle,4609,,
304530333,,featureform/featureform,4580,,
41349039,dgraph-io/dgraph,dgraph-io/dgraph,4548,2015-08-25T07:15:56Z,Graph
346976717,4paradigm/OpenMLDB,4paradigm/OpenMLDB,4264,2021-03-12T07:18:31Z,"Relational,Time Series"
254418044,,tigerbeetle/tigerbeetle,4255,,
206417,apache/couchdb,apache/couchdb,4227,2009-05-21T02:03:38Z,Document
201403923,activeloopai/deeplake,activeloopai/deeplake,4195,2019-08-09T06:17:59Z,Vector
396856161,authzed/spicedb,authzed/spicedb,4050,2021-08-16T15:32:09Z,Object Oriented
501460708,,stoneatom/stonedb,3897,,
581145740,ByConity/ByConity,ByConity/ByConity,3888,2022-12-22T11:50:32Z,Relational
11695619,eXist-db/exist,eXist-db/exist,3882,2013-07-26T21:53:48Z,"Document,Native XML"
420965027,cnosdb/cnosdb,cnosdb/cnosdb,3881,2021-10-25T09:47:14Z,"Relational,Time Series"
49412556,quickwit-oss/tantivy,quickwit-oss/tantivy,3755,2016-01-11T08:32:16Z,Document
449924556,tigrisdata/tigris,tigrisdata/tigris,3750,2022-01-20T02:16:49Z,Document
54005538,FirebirdSQL/firebird,FirebirdSQL/firebird,3460,2016-03-16T06:10:37Z,Relational
372536760,oceanbase/oceanbase,oceanbase/oceanbase,3411,2021-05-31T14:36:17Z,Relational
5844474,EventStore/EventStore,EventStore/EventStore,3401,2012-09-17T17:22:49Z,Event
520096046,marqo-ai/marqo,marqo-ai/marqo,3230,2022-08-01T12:12:51Z,"Document,Vector,Search Engine"
146459443,vesoft-inc/nebula,vesoft-inc/nebula,3115,2018-08-28T14:25:09Z,Graph
30449481,apache/tinkerpop,apache/tinkerpop,3111,2015-02-07T08:00:05Z,Graph
462329984,speedb-io/speedb,speedb-io/speedb,3104,2022-02-22T14:18:31Z,Key-value
75425073,pubkey/rxdb,pubkey/rxdb,3055,2016-12-02T19:34:42Z,Document
141376301,apache/incubator-hugegraph,apache/incubator-hugegraph,3043,2018-07-18T03:30:20Z,Graph
91593042,bloomberg/comdb2,bloomberg/comdb2,3020,2017-05-17T15:39:23Z,Relational
94593596,etcd-io/bbolt,etcd-io/bbolt,2992,2017-06-17T01:42:09Z,Key-value
95614931,manticoresoftware/manticoresearch,manticoresoftware/manticoresearch,2952,2017-06-28T01:15:30Z,"Relational,Search Engine"
607441698,lancedb/lancedb,lancedb/lancedb,2919,2023-02-28T01:15:17Z,Document
77385607,JanusGraph/janusgraph,JanusGraph/janusgraph,2917,2016-12-26T13:26:29Z,Graph
202483348,,apache/incubator-kvrocks,2842,,
20473418,apache/phoenix,apache/phoenix,2835,2014-06-04T07:00:08Z,Relational
220186120,codenotary/immudb,codenotary/immudb,2807,2019-11-07T08:22:16Z,Key-value
510607652,pocketbase/pocketbase,pocketbase/pocketbase,2785,2022-07-05T06:06:21Z,Relational
148087762,,georgia-tech-db/evadb,2727,,
148087762,georgia-tech-db/eva,georgia-tech-db/eva,2673,2018-09-10T02:26:03Z,Relational
396867188,ArcadeData/arcadedb,ArcadeData/arcadedb,2632,2021-08-16T16:01:29Z,"Key-value,Document,Graph,Time Series"
456549280,ydb-platform/ydb,ydb-platform/ydb,2601,2022-02-07T14:52:36Z,"Relational,Document"
34533675,apache/sedona,apache/sedona,2488,2015-04-24T18:01:29Z,Spatial
79317191,typesense/typesense,typesense/typesense,2471,2017-01-18T08:01:47Z,Search Engine
125824259,xtdb/xtdb,xtdb/xtdb,2462,2018-03-19T08:19:27Z,Document
87414843,hyrise/hyrise,hyrise/hyrise,2443,2017-04-06T10:03:31Z,Relational
678214856,timeplus-io/proton,timeplus-io/proton,2302,2023-08-14T03:11:43Z,Relational
644742603,cloudberrydb/cloudberrydb,cloudberrydb/cloudberrydb,2301,2023-05-24T06:58:16Z,"Object Oriented,Relational"
47973088,gchq/Gaffer,gchq/Gaffer,2271,2015-12-14T12:12:39Z,Graph
305513242,fluree/db,fluree/db,2240,2020-10-19T21:06:38Z,"Graph,Relational,Document,RDF"
66783145,couchbase/couchbase-lite-core,couchbase/couchbase-lite-core,2174,2016-08-28T18:07:47Z,"Document,Key-value"
40127179,,FeatureBaseDB/featurebase,2107,,
84458512,RedisGraph/RedisGraph,RedisGraph/RedisGraph,2100,2017-03-09T15:37:25Z,Graph
668673665,,FalkorDB/FalkorDB,1997,,
442441933,mabel-dev/opteryx,mabel-dev/opteryx,1979,2021-12-28T11:27:22Z,"Object Oriented,Relational"
7437073,apache/jena,apache/jena,1961,2013-01-04T08:00:32Z,RDF
13124802,influxdata/influxdb,influxdata/influxdb,1788,2013-09-26T14:31:10Z,"Wide column,Time Series"
507829396,openGemini/openGemini,openGemini/openGemini,1753,2022-06-27T08:41:54Z,"Relational,Time Series"
6650539,neo4j/neo4j,neo4j/neo4j,1697,2012-11-12T08:46:15Z,Graph
63110867,,vaticle/typedb,1691,,
473235285,polarsignals/frostdb,polarsignals/frostdb,1678,2022-03-23T14:55:52Z,Wide column
543276238,,tursodatabase/libsql,1634,,
528766495,TuGraph-family/tugraph-db,TuGraph-family/tugraph-db,1625,2022-08-25T08:46:43Z,Graph
660776503,paradedb/paradedb,paradedb/paradedb,1604,2023-06-30T20:21:47Z,"Object Oriented,Relational"
170496871,gridgain/gridgain,gridgain/gridgain,1541,2019-02-13T11:31:35Z,Columnar
49670957,eclipse/rdf4j,eclipse/rdf4j,1501,2016-01-14T19:47:32Z,RDF
160784930,,nutsdb/nutsdb,1493,,
574588439,ytsaurus/ytsaurus,ytsaurus/ytsaurus,1450,2022-12-05T16:32:05Z,Document
291675222,hstreamdb/hstream,hstreamdb/hstream,1416,2020-08-31T09:42:17Z,Relational
29259281,filodb/FiloDB,filodb/FiloDB,1386,2015-01-14T18:35:32Z,
385356389,vmware/splinterdb,vmware/splinterdb,1368,2021-07-12T19:10:28Z,Key-value
160999,apache/zookeeper,apache/zookeeper,1350,2009-03-27T15:41:56Z,Hierarchical
33745913,h2database/h2database,h2database/h2database,1330,2015-04-10T19:09:09Z,Relational
65259211,xap/xap,xap/xap,1308,,Key-value
30753733,percona/percona-server,percona/percona-server,1273,2015-02-13T11:32:01Z,Relational
661663226,maxnowack/signaldb,maxnowack/signaldb,1257,2023-07-03T11:21:29Z,Document
67904342,Expensify/Bedrock,Expensify/Bedrock,1230,2016-09-11T01:55:45Z,Relational
184981,memcached/memcached,memcached/memcached,1208,2009-04-24T23:34:25Z,Key-value
323389945,logicalclocks/rondb,logicalclocks/rondb,1199,2020-12-21T16:25:57Z,"Relational,Key-value"
198466472,terminusdb/terminusdb,terminusdb/terminusdb,1196,2019-07-23T16:15:27Z,"Graph,Document,RDF"
23247808,rqlite/rqlite,rqlite/rqlite,1178,2014-08-23T04:31:18Z,Relational
80087836,dgraph-io/badger,dgraph-io/badger,1165,2017-01-26T05:09:49Z,Key-value
50594316,senx/warp10-platform,senx/warp10-platform,1067,2016-01-28T15:56:55Z,Time Series
150013328,cberner/redb,cberner/redb,1031,2018-09-23T18:30:14Z,Key-value
714074,pouchdb/pouchdb,pouchdb/pouchdb,1015,2010-06-10T18:34:24Z,Document
9595928,mirage/irmin,mirage/irmin,1005,2013-04-22T09:52:58Z,Document
543276238,libsql/libsql,libsql/libsql,973,2022-09-29T18:56:16Z,Relational
510375115,splitgraph/seafowl,splitgraph/seafowl,966,2022-07-04T13:41:52Z,Relational
168712350,Snapchat/KeyDB,Snapchat/KeyDB,929,2019-02-01T14:50:00Z,Key-value
25780780,AlaSQL/alasql,AlaSQL/alasql,871,2014-10-26T16:30:37Z,"Relational,Document"
511030127,ceramicstudio/js-composedb,ceramicstudio/js-composedb,844,2022-07-06T07:15:37Z,Graph
5683653,apache/drill,apache/drill,794,2012-09-05T07:00:26Z,"Wide column,Document"
516821813,,hydradatabase/hydra,769,,
4604367,sirixdb/sirix,sirixdb/sirix,750,2012-06-09T02:22:14Z,Document
116407410,replikativ/datahike,replikativ/datahike,695,2018-01-05T16:57:28Z,
207663235,cmu-db/bustub,cmu-db/bustub,689,2019-09-10T21:06:59Z,Relational
23013460,lsst/qserv,lsst/qserv,677,2014-08-16T07:50:36Z,Relational
48617634,,orbitdb/orbitdb,667,,
39519916,percona/percona-server-mongodb,percona/percona-server-mongodb,627,2015-07-22T17:25:26Z,Document
17224514,ehcache/ehcache3,ehcache/ehcache3,621,2014-02-26T20:39:16Z,Key-value
31315021,Kinto/kinto,Kinto/kinto,606,2015-02-25T13:34:23Z,Document
432844875,orioledb/orioledb,orioledb/orioledb,600,2021-11-28T22:57:49Z,"Object Oriented,Relational"
606433492,chdb-io/chdb,chdb-io/chdb,591,2023-02-25T13:35:14Z,Relational
3788366,openlink/virtuoso-opensource,openlink/virtuoso-opensource,586,2012-03-21T16:00:39Z,Document
344711168,IceFireDB/IceFireDB,IceFireDB/IceFireDB,568,2021-03-05T06:03:29Z,Key-value
660776503,,getretake/retake,502,,
551374215,cozodb/cozo,cozodb/cozo,493,2022-10-14T09:28:11Z,Relational
393235957,risinglightdb/risinglight,risinglightdb/risinglight,483,2021-08-06T03:26:03Z,Relational
28738447,apache/kylin,apache/kylin,476,2015-01-03T08:00:05Z,"Key-value,Relational"
91715647,gnocchixyz/gnocchi,gnocchixyz/gnocchi,475,2017-05-18T16:32:52Z,Relational
125234630,danielealbano/cachegrand,danielealbano/cachegrand,472,2018-03-14T15:33:02Z,Key-value
7502247,lealone/Lealone,lealone/Lealone,451,2013-01-08T13:57:08Z,Relational
318972528,,rosedblabs/rosedb,451,,
664816265,scratchdata/ScratchDB,scratchdata/ScratchDB,448,2023-07-10T20:15:01Z,Document
49670957,,eclipse-rdf4j/rdf4j,448,,
316690542,MonetDB/MonetDB,MonetDB/MonetDB,438,2020-11-28T08:35:36Z,"Wide column,Relational"
92329433,canonical/dqlite,canonical/dqlite,436,2017-05-24T19:35:52Z,Relational
79901405,objectbox/objectbox-java,objectbox/objectbox-java,430,2017-01-24T10:29:48Z,Object Oriented
61153677,m3db/m3,m3db/m3,420,2016-06-14T20:29:45Z,"Relational,Time Series"
7083240,orientechnologies/orientdb,orientechnologies/orientdb,407,2012-12-09T20:33:47Z,"Key-value,Document,Graph,Object Oriented"
24494032,mysql/mysql-server,mysql/mysql-server,404,2014-09-26T09:31:03Z,Relational
664133375,epsilla-cloud/vectordb,epsilla-cloud/vectordb,386,2023-07-09T02:28:31Z,Array
195895847,hivedb/hive,hivedb/hive,382,2019-07-08T22:47:01Z,Key-value
23315232,mbdavid/LiteDB,mbdavid/LiteDB,369,2014-08-25T13:49:30Z,Document
191676087,,lindb/lindb,368,,
143253020,microsoft/FASTER,microsoft/FASTER,357,2018-08-02T06:38:41Z,Key-value
441299511,reductstore/reductstore,reductstore/reductstore,339,2021-12-23T21:27:52Z,"Key-value,Time Series"
1374129,BaseXdb/basex,BaseXdb/basex,337,2011-02-16T15:02:14Z,"Document,Native XML"
88777477,,nitrite/nitrite-java,332,,
534109388,EuclidOLAP/EuclidOLAP,EuclidOLAP/EuclidOLAP,319,,Array
259542436,LineairDB/LineairDB,LineairDB/LineairDB,310,2020-04-28T05:41:20Z,Key-value
45732002,jnidzwetzki/bboxdb,jnidzwetzki/bboxdb,303,2015-11-07T10:28:59Z,Array
223462217,resilientdb/resilientdb,resilientdb/resilientdb,302,2019-11-22T18:28:12Z,Document
108110,mongodb/mongo,mongodb/mongo,300,2009-01-15T16:15:18Z,Document
266515876,armink/FlashDB,armink/FlashDB,298,2020-05-24T10:15:56Z,Key-value
4407129,postgis/postgis,postgis/postgis,292,2012-05-22T13:31:25Z,Spatial
606125384,paypal/junodb,paypal/junodb,287,2023-02-24T16:52:02Z,Key-value
298920362,oracle/nosql-java-sdk,oracle/nosql-java-sdk,285,2020-09-27T00:05:54Z,"Key-value,Document"
22475123,amark/gun,amark/gun,282,2014-07-31T15:52:10Z,Graph
270858421,juji-io/datalevin,juji-io/datalevin,275,2020-06-08T23:53:52Z,Document
496505424,,CeresDB/horaedb,272,,
454981666,streamnative/oxia,streamnative/oxia,269,2022-02-03T00:28:48Z,Key-value
443220240,tinyplex/tinybase,tinyplex/tinybase,241,2021-12-31T01:06:00Z,Relational
55072677,semi-technologies/weaviate,semi-technologies/weaviate,239,2016-03-30T15:03:17Z,Vector
22631422,Netflix/atlas,Netflix/atlas,227,2014-08-05T05:23:04Z,
53171300,tidwall/tile38,tidwall/tile38,225,2016-03-04T23:07:44Z,
453191009,ostafen/clover,ostafen/clover,218,2022-01-28T19:25:23Z,Document
16189524,OpenNMS/newts,OpenNMS/newts,200,2014-01-23T23:39:27Z,Time Series
19271154,JetBrains/xodus,JetBrains/xodus,199,2014-04-29T09:36:04Z,Document
574694308,RhizomeDB/rs-rhizome,RhizomeDB/rs-rhizome,198,2022-12-05T21:55:16Z,Relational
23405758,google/leveldb,google/leveldb,187,2014-08-27T21:17:52Z,Key-value
496505424,apache/incubator-horaedb,apache/incubator-horaedb,184,2022-05-26T06:22:14Z,Relational
21985130,OpenHFT/Chronicle-Map,OpenHFT/Chronicle-Map,181,2014-07-18T15:33:57Z,Key-value
6452529,rethinkdb/rethinkdb,rethinkdb/rethinkdb,178,2012-10-30T05:37:47Z,Document
90541149,heavyai/heavydb,heavyai/heavydb,174,2017-05-07T15:07:56Z,Relational
206686299,rayokota/kareldb,rayokota/kareldb,173,2019-09-06T01:17:24Z,Relational
166387176,polypheny/Polypheny-DB,polypheny/Polypheny-DB,170,2019-01-18T10:24:15Z,"Relational,Document,Graph"
642912355,awa-ai/awadb,awa-ai/awadb,170,2023-05-19T16:22:02Z,"Document,Vector"
186332888,vearch/vearch,vearch/vearch,168,2019-05-13T02:37:31Z,"Document,Vector"
349627612,khonsulabs/bonsaidb,khonsulabs/bonsaidb,164,2021-03-20T04:35:24Z,Key-value
387622288,elliotchance/vsql,elliotchance/vsql,162,2021-07-19T23:55:45Z,Relational
791522,basho/riak_kv,basho/riak_kv,159,2010-07-22T17:27:35Z,Key-value
195895847,,isar/hive,145,,
3766330,pentaho/mondrian,pentaho/mondrian,145,2012-03-19T17:03:39Z,Relational
49401416,spacejam/sled,spacejam/sled,145,2016-01-11T04:11:30Z,Key-value
73235061,rayokota/hgraphdb,rayokota/hgraphdb,144,2016-11-08T23:05:08Z,Graph
4254338,graphite-project/graphite-web,graphite-project/graphite-web,143,2012-05-07T21:30:55Z,Time Series
606800919,firstbatchxyz/hollowdb,firstbatchxyz/hollowdb,142,2023-02-26T15:57:33Z,Key-value
138411034,genjidb/genji,genjidb/genji,135,2018-06-23T15:12:03Z,Document
137869753,appy-one/acebase,appy-one/acebase,134,2018-06-19T09:28:07Z,Document
