database,table,name,type,position,default_kind,default_expression,data_compressed_bytes,data_uncompressed_bytes,marks_bytes,comment,is_in_partition_key,is_in_sorting_key,is_in_primary_key,is_in_sampling_key,compression_codec,character_octet_length,numeric_precision,numeric_precision_radix,numeric_scale,datetime_precision
opensource,events,release_assets.uploader_login,Array(LowCardinality(String)),125,,,35010869,73302924,53113008,,0,0,0,0,,,,,,
opensource,events,release_assets.uploader_id,Array(UInt64),126,,,21638193,193458480,26556504,,0,0,0,0,,,,,,
opensource,events,release_assets.content_type,Array(LowCardinality(String)),127,,,8472884,30234701,53113008,,0,0,0,0,,,,,,
opensource,events,release_assets.state,Array(String),128,,,955828,217640790,26556504,,0,0,0,0,,,,,,
opensource,events,release_assets.size,Array(UInt64),129,,,88616617,193458480,26556504,,0,0,0,0,,,,,,
opensource,events,release_assets.download_count,Array(UInt16),130,,,1021481,48364620,26556504,,0,0,0,0,,,,,,
opensource,events,commit_comment_id,UInt64,131,,,417447678,63993768064,26556504,,0,0,0,0,,,64.0,2.0,0.0,
opensource,events,commit_comment_author_id,UInt64,132,,,309330711,63993768064,26556504,,0,0,0,0,,,64.0,2.0,0.0,
opensource,events,commit_comment_author_login,LowCardinality(String),133,,,133996854,14579176098,53113008,,0,0,0,0,,,,,,
opensource,events,commit_comment_author_type,"Enum8('Bot' = 1, 'Mannequin' = 2, 'Organization' = 3, 'User' = 4)",134,,,39537048,7999221008,26556504,,0,0,0,0,,,,,,
opensource,events,commit_comment_author_association,"Enum8('COLLABORATOR' = 1, 'CONTRIBUTOR' = 2, 'MEMBER' = 3, 'NONE' = 4, 'OWNER' = 5, 'MANNEQUIN' = 6)",135,,,40256923,7999221008,26556504,,0,0,0,0,,,,,,
opensource,events,commit_comment_path,String,136,,,73994057,8114779816,26556504,,0,0,0,0,,,,,,
opensource,events,commit_comment_position,String,137,,,44688638,8005699352,26556504,,0,0,0,0,,,,,,
opensource,events,commit_comment_line,String,138,,,45976395,8007020961,26556504,,0,0,0,0,,,,,,
opensource,events,commit_comment_sha,String,139,,,1074539188,9220085589,26556504,,0,0,0,0,,,,,,
opensource,events,commit_comment_created_at,Nullable(DateTime),140,,,297644353,39996105040,53113008,,0,0,0,0,,,,,,0.0
opensource,events,commit_comment_updated_at,Nullable(DateTime),141,,,297644354,39996105040,53113008,,0,0,0,0,,,,,,0.0
