repo_id,repo_name,self_ref_ratio,repo_name_used,i_pr_rec_cnt,repo_created_at,category_label,project_age_years,external_ref_ratio
6838921,prometheus/prometheus,0.319636840134781,prometheus/prometheus,10481,2012-11-24T11:14:12Z,Key-value,11.096509240246407,0.680363159865219
6838921,prometheus/prometheus,0.319636840134781,prometheus/prometheus,10481,2012-11-24T11:14:12Z,Time Series,11.096509240246407,0.680363159865219
19257422,questdb/questdb,0.7628969499184135,questdb/questdb,9808,2014-04-28T23:29:15Z,Relational,9.672826830937714,0.2371030500815865
19257422,questdb/questdb,0.7628969499184135,questdb/questdb,9808,2014-04-28T23:29:15Z,Time Series,9.672826830937714,0.2371030500815865
2524488,apache/accumulo,0.7513629283489096,apache/accumulo,9738,2011-10-06T07:00:09Z,Wide column,12.232717316906228,0.2486370716510904
198683574,dolthub/dolt,0.5162424412881451,dolthub/dolt,9686,2019-07-24T17:46:25Z,Relational,4.435318275154004,0.4837575587118549
298763623,kuzudb/kuzu,0.4035803151783246,kuzudb/kuzu,8762,2020-09-26T07:43:06Z,Graph,3.2580424366872007,0.5964196848216754
50874442,citusdata/citus,0.7118622285053335,citusdata/citus,8747,2016-02-01T21:58:39Z,Relational,7.909650924024641,0.28813777149466646
357707809,quickwit-oss/quickwit,0.5849242424242425,quickwit-oss/quickwit,8429,2021-04-13T22:45:40Z,Document,2.7132101300479126,0.41507575757575754
1917262,realm/realm-core,0.6367418012963142,realm/realm-core,8244,2011-06-18T21:18:46Z,Document,12.53388090349076,0.3632581987036858
1917262,realm/realm-core,0.6367418012963142,realm/realm-core,8244,2011-06-18T21:18:46Z,Object Oriented,12.53388090349076,0.3632581987036858
95817032,edgedb/edgedb,0.7813684420506682,edgedb/edgedb,8131,2017-06-29T20:30:48Z,Relational,6.50239561943874,0.21863155794933176
95817032,edgedb/edgedb,0.7813684420506682,edgedb/edgedb,8131,2017-06-29T20:30:48Z,Object Oriented,6.50239561943874,0.21863155794933176
52080367,CUBRID/cubrid,0.5148855618654277,CUBRID/cubrid,7736,2016-02-19T10:25:32Z,Relational,7.860369609856263,0.48511443813457233
52080367,CUBRID/cubrid,0.5148855618654277,CUBRID/cubrid,7736,2016-02-19T10:25:32Z,Object Oriented,7.860369609856263,0.48511443813457233
1050944,infinispan/infinispan,0.2429462429462429,infinispan/infinispan,7337,2010-11-04T12:33:19Z,Key-value,13.152635181382614,0.7570537570537571
478288303,nuclia/nucliadb,0.593943090508897,nuclia/nucliadb,7256,2022-04-05T20:21:54Z,Vector,1.7357973990417521,0.40605690949110296
195619075,vdaas/vald,0.1965853777853875,vdaas/vald,7085,2019-07-07T06:42:22Z,Vector,4.48186173853525,0.8034146222146125
182849188,delta-io/delta,0.444963144963145,delta-io/delta,6713,2019-04-22T18:56:51Z,Wide column,4.689938398357289,0.555036855036855
86868560,TileDB-Inc/TileDB,0.7391140077453481,TileDB-Inc/TileDB,6393,2017-03-31T23:44:23Z,Array,6.74880219028063,0.2608859922546519
496817075,GlareDB/glaredb,0.4794015611448395,GlareDB/glaredb,5905,2022-05-27T00:52:47Z,Relational,1.593429158110883,0.5205984388551606
130688011,meilisearch/meilisearch,0.4053971362134377,meilisearch/meilisearch,5552,2018-04-23T11:45:28Z,Document,5.686516084873374,0.5946028637865624
130688011,meilisearch/meilisearch,0.4053971362134377,meilisearch/meilisearch,5552,2018-04-23T11:45:28Z,Search Engine,5.686516084873374,0.5946028637865624
276293034,apache/age,0.5003026634382567,apache/age,5007,2020-07-01T06:15:47Z,Graph,3.4962354551676933,0.4996973365617433
