,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,pagerank,weighted_degree_centrality,weighted_pagerank,composite_centrality,node_type,weight,label,degree,repo_id,repo_name,in_lcc
R_433653701,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_433653701,1,433653701,,True
R_402945349,0.00046061722708429296,0.2897727272727273,6.294023993918322e-07,0.017148641664236526,5.1688192838521976e-05,0.0006141563027790573,5.1688192838521976e-05,0.1262189128202221,Repo,1,R_402945349,3,402945349,,True
R_78870047,0.0006141563027790573,0.2732650349350594,0.00025341669011276214,0.011371668010117391,0.0001534909986852183,0.0026101642868109932,0.0001534909986852183,0.11818916668859178,Repo,1,R_78870047,4,78870047,,True
R_517653557,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_517653557,1,517653557,,True
R_175096978,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_175096978,1,175096978,,True
R_259281907,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,6.93144012434766e-05,0.0006141563027790573,6.93144012434766e-05,0.11141678805648611,Repo,1,R_259281907,1,259281907,,True
R_198683574,0.008751727314601566,0.3196129549784418,0.008207434185209379,0.03788591742100359,0.002311666856565699,0.05281744203899893,0.002311666856565699,0.20550913335391238,Repo,1,R_198683574,59,198683574,dolthub/dolt,True
R_36778364,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_36778364,1,36778364,,True
R_54280778,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_54280778,1,54280778,,True
R_569050726,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_569050726,1,569050726,,True
R_80624075,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_80624075,1,80624075,,True
R_6148317,0.00046061722708429296,0.27974022554741323,0.00017060652835488514,0.015893300661645415,6.96017146903719e-05,0.0009212344541685859,6.96017146903719e-05,0.12191342461985388,Repo,1,R_6148317,3,6148317,,True
R_103980089,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,5.7764499877802276e-05,0.00046061722708429296,5.7764499877802276e-05,0.11129196220191398,Repo,1,R_103980089,1,103980089,,True
R_304432822,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_304432822,1,304432822,,True
R_13868694,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,5.7764499877802276e-05,0.00046061722708429296,5.7764499877802276e-05,0.11129196220191398,Repo,1,R_13868694,1,13868694,,True
R_10080335,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_10080335,1,10080335,,True
