DBMS_urnform,X_DBMS_urnform,Y_DBMS_urnform,match_state,manu_labeled_flag,DBMS_common_name,category_label,Written in,Query Interface,System Architecture,Developer,Country of Origin,initial_release_year,current_release_year,Project Type,License_info,github_repo_link,github_repo_id,open_source_license,Score_Oct-2024,Rank_Oct-2024,repo_created_at
splinterdb,splinterdb,,X_Single,Y_auto,SplinterDB,Key-value,C,Custom API,Embedded,"VMware, Inc.",US,2018,,"Industrial Research,Open Source",Apache v2,vmware/splinterdb,385356389,Y,,,2021-07-12T19:10:28Z
sqlite,sqlite,sqlite,Normal,Y_auto,SQLite,Relational,,"Custom API,SQL","Shared-Disk,Embedded","D. Richard Hipp, Dan Kennedy, Joe Mistachkin#dbdbio>|<dbengines#Dwayne Richard Hipp",US,2000,2024,"Commercial,Open Source",Public Domain,sqlite/sqlite,176278485,Y,101.91,10,2019-03-18T12:21:01Z
srch2,srch2,,X_Single,Y_auto,SRCH²,,C++,,,SRCH²,US,2010,2017,"Commercial,Open Source",Proprietary,SRCH2/srch2-ngn,49683870,Y,,,2016-01-15T00:12:16Z
ssdb,ssdb,,X_Single,Y_auto,SSDB,Key-value,C++,"Custom API,Command-line / Shell",Shared-Nothing,Zuyang Wu,CN,2013,,Open Source,BSD,ideawu/ssdb,7561862,Y,,,2013-01-11T15:19:07Z
starrocks,starrocks,starrocks,Normal,Y_auto,StarRocks,"Wide column,Relational","C++,Java",SQL,"Shared-Nothing,Shared-Everything",StarRocks Labs#dbdbio>|<dbengines#The Linux Foundation,CN,2021#dbdbio>|<dbengines#2020,2024,"Commercial,Open Source",Apache v2.0,StarRocks/StarRocks,402945349,Y,0.96,193,2021-09-04T02:29:35Z
stellarsql,stellarsql,,X_Single,Y_auto,StellarSQL,Relational,Rust,SQL,,An-Chi Liu,TW,2018,2021,"Hobby,Open Source",MIT,stellarsql/StellarSQL,151367139,Y,,,2018-10-03T05:53:25Z
stereodb,stereodb,,X_Single,Y_auto,StereoDB,Relational,F#,SQL,Embedded,Anton Moldovan,UA,2023,,"Hobby,Open Source",Apache v2,StereoDB/StereoDB,590507334,Y,,,2023-01-18T15:19:57Z
stig,stig,,X_Single,Y_auto,Stig,Graph,C++,,Shared-Nothing,Tagged,US,2010,2014,Open Source,Apache v2,jssmith/stigdb,166429903,Y,,,2019-01-18T15:50:36Z
stonedb,stonedb,,X_Single,Y_auto,StoneDB,Relational,,SQL,,StoneAtom Ltd.,CN,2022,,"Commercial,Open Source",GNU General Public License v2.0,StoneAtom/stonedb,501460708,Y,,,2022-06-09T01:10:28Z
stormidb,stormidb,,X_Single,Y_auto,StormiDB,Document,JavaScript,Custom API,Embedded,Gopersonal,US,2024,,Open Source,MIT,goshops-com/StormiDB,852516379,Y,,,2024-09-05T00:10:12Z
strabon,strabon,strabon,Normal,Y_auto,Strabon,RDF,Java,SPARQL,,KRR&A Team,GR,2011,,"Academic,Open Source",Mozilla public license,esarbanis/strabon,31719727,Y,0.33,276,2015-03-05T15:09:55Z
strixdb,strixdb,,X_Single,Y_auto,StrixDB,RDF,,"SPARQL,Datalog",Embedded,,FR,,,"Commercial,Open Source",Proprietary,-,-,Y,,,-
strozzi-nosql,strozzi-nosql,,X_Single,Y_auto,Strozzi NoSQL,Relational,,,,Carlo Strozzi,IT,1989,,"Commercial,Open Source",GPL v2,-,-,Y,,,-
stsdb,stsdb,stsdb,Normal,Y_auto,STSdb,Key-value,C#,,Embedded,STS Soft SC,BG,2008#dbdbio>|<dbengines#2011,2020#dbdbio>|<dbengines#2015,"Commercial,Open Source","GPL v2,GPL v3#dbdbio>|<dbengines#GPLv2, commercial license available",STSSoft/STSdb4,31363586,Y,0.03,363,2015-02-26T11:15:00Z
summitdb,summitdb,,X_Single,Y_auto,SummitDB,Key-value,Go,Custom API,Shared-Nothing,Josh Baker,US,2016,2022,"Hobby,Open Source",MIT,tidwall/summitdb,70629059,Y,,,2016-10-11T19:41:51Z
surrealdb,surrealdb,surrealdb,Normal,Y_auto,SurrealDB,"Relational,Document,Graph",Rust,"Custom API,SQL,HTTP / REST,RPC","Shared-Nothing,Embedded",SurrealDB Ltd.#dbdbio>|<dbengines#SurrealDB Ltd,GB,2016#dbdbio>|<dbengines#2022,2024,"Commercial,Open Source",Business Source License,surrealdb/surrealdb,436658287,Y,1.07,179,2021-12-09T15:03:29Z
swaydb,swaydb,swaydb,Normal,Y_auto,SwayDB,Key-value,Scala,Custom API,Embedded,Simer Plaha,AU,2018,,"Commercial,Open Source",AGPL v3.0,simerplaha/SwayDB,121126549,Y,0.0,387,2018-02-11T13:33:26Z
swc-db,swc-db,swc-db,Normal,Y_auto,SWC-DB,"Wide column,Key-value",C++,"Custom API,SQL,Command-line / Shell",Shared-Nothing,Kashirin Alex#dbdbio>|<dbengines#Alex Kashirin,IL,2019#dbdbio>|<dbengines#2020,2021,"Commercial,Open Source","GPL v3,Proprietary",kashirin-alex/swc-db,191442206,Y,0.01,375,2019-06-11T20:11:19Z
sylvadb,sylvadb,,X_Single,Y_auto,SylvaDB,Graph,JavaScript,,,The CulturePlex Lab,CA,2009,2016,"Academic,Open Source",AGPL v3,CulturePlex/Sylva,1832551,Y,,,2011-06-01T15:46:36Z
sylviejs,sylviejs,,X_Single,Y_auto,SylvieJS,Document,JavaScript,Custom API,"Shared-Everything,Embedded",Chris Fu,US,2023,,"Hobby,Open Source",MIT,cfu288/SylvieJS,639434928,Y,,,2023-05-11T13:21:42Z
tabdb,tabdb,,X_Single,Y_auto,TabDB,Relational,JavaScript,SQL,,Kevin Kuchta,US,2019,2019,"Hobby,Open Source",,kkuchta/tabdb,199466858,Y,,,2019-07-29T14:17:41Z
taffydb,taffydb,,X_Single,Y_auto,TaffyDB,Document,JavaScript,,Embedded,Ian Smith,US,2009,,Open Source,MIT,typicaljoe/taffydb,184711,Y,,,2009-04-24T18:10:46Z
tajo,tajo,tajo,Normal,Y_auto,Tajo,Relational,Java,"Custom API,SQL,Command-line / Shell",Shared-Disk,Korea University#dbdbio>|<dbengines#Apache Software Foundation,KR,2012,2020,Open Source,Apache v2,apache/tajo,17971138,Y,0.35,273,2014-03-21T07:00:07Z
tantivy,tantivy,,X_Single,Y_auto,Tantivy,Document,Rust,Custom API,Embedded,"Quickwit, Inc.",JP,2016,,Open Source,MIT,quickwit-oss/tantivy,49412556,Y,,,2016-01-11T08:32:16Z
tarantool,tarantool,tarantool,Normal,Y_auto,Tarantool,Key-value#dbdbio>|<dbengines#Document,C,"Custom API,Stored Procedures,Command-line / Shell",Shared-Nothing,Tarantool#dbdbio>|<dbengines#VK,RU,2008,2022,"Commercial,Open Source","BSD#dbdbio>|<dbengines#BSD-2, source-available extensions (modules), commercial licenses for Tarantool Enterprise",tarantool/tarantool,911980,Y,1.58,142,2010-09-15T07:59:26Z
tayzgrid,tayzgrid,,X_Single,Y_auto,TayzGrid,Object Oriented,Java,,,Alachisoft,US,,,"Commercial,Open Source",Proprietary,Alachisoft/TayzGrid,37905036,Y,,,2015-06-23T07:53:12Z
tdengine,tdengine,tdengine,Normal,Y_auto,TDengine,Relational#dbdbio>|<dbengines#Time Series,C,"Custom API,SQL,HTTP / REST,Command-line / Shell",Shared-Nothing,"TDengine#dbdbio>|<dbengines#TDEngine, previously Taos Data",CN,2017#dbdbio>|<dbengines#2019,2022,"Commercial,Open Source","AGPL v3#dbdbio>|<dbengines#AGPL V3, also commercial editions available",taosdata/TDengine,196353673,Y,2.47,107,2019-07-11T08:33:48Z
tendis,tendis,,X_Single,Y_auto,Tendis,Key-value,C++,Custom API,Shared-Nothing,Tencent,CN,2018,,Open Source,GPL v3,Tencent/Tendis,321853986,Y,,,2020-12-16T03:12:23Z
tensorbase,tensorbase,,X_Single,Y_auto,TensorBase,Relational,Rust,SQL,Shared-Disk,TensorBase,CN,2020,2022,"Commercial,Open Source",Apache v2,tensorbase/tensorbase,285012797,Y,,,2020-08-04T14:57:43Z
tera,tera,,X_Single,Y_auto,Tera,Wide column,C++,SQL,Shared-Disk,"Baidu, Inc.",CN,2014,,"Commercial,Open Source",BSD,baidu/tera,18129915,Y,,,2014-03-26T07:22:05Z
terarkdb,terarkdb,terarkdb,Normal,Y_auto,TerarkDB,Key-value,C++,Custom API,Embedded,"Bytedance Engineering Team#dbdbio>|<dbengines#ByteDance, originally Terark",CN,2016,,Open Source,Apache v2; restricted open source version available,bytedance/terarkdb,320459354,Y#dbdbio>|<dbengines#N,0.0,388,2020-12-11T03:42:58Z
terminusdb,terminusdb,terminusdb,Normal,Y_auto,TerminusDB,"Graph,Document,RDF","Prolog,Rust","Custom API,Datalog",,TerminusDB#dbdbio>|<dbengines#DataChemist Ltd.,IE,2019#dbdbio>|<dbengines#2018,2023,"Commercial,Open Source",GPL v3,terminusdb/terminusdb,198466472,Y,0.17,318,2019-07-23T16:15:27Z
terrastore,terrastore,,X_Single,Y_auto,Terrastore,Document,Java,Custom API,,Sergio Bossa,GB,2009,2011,Open Source,Apache v2,AnantLabs/terrastore,32611526,Y,,,2015-03-20T23:04:13Z
thinksql,thinksql,,X_Single,Y_auto,ThinkSQL,Relational,Pascal,SQL,Shared-Everything,,GB,2000,,"Commercial,Open Source",,ggaughan/ThinkSQL,3084708,Y,,,2012-01-01T23:45:26Z
threaddb,threaddb,,X_Single,Y_auto,ThreadDB,Document,Go,Custom API,Shared-Nothing,Textile,US,2019,2022,Open Source,MIT,textileio/go-threads,197858776,Y,,,2019-07-20T00:24:31Z
thrudb,thrudb,,X_Single,Y_auto,ThruDB,,C++,,,Jake Luciani,US,2006,2008,Open Source,BSD,rcrowley/thrudb,55892,Y,,,2008-09-24T05:55:41Z
tidb,tidb,tidb,Normal,Y_auto,TiDB,Key-value#dbdbio>|<dbengines#Relational,Go,SQL,Shared-Nothing,"PingCAP, Inc.",US,2015#dbdbio>|<dbengines#2016,2024,"Commercial,Open Source",Apache v2.0,pingcap/tidb,41986369,Y,3.66,77,2015-09-06T04:01:52Z
tiedot,tiedot,,X_Single,Y_auto,tiedot,Document,Go,,"Shared-Everything,Embedded",Howard Guo,FI,2013,2021,Open Source,BSD,HouzuoGuo/tiedot,10296238,Y,,,2013-05-26T10:03:49Z
tieredmemdb,tieredmemdb,,X_Single,Y_auto,TieredMemDB,,,Command-line / Shell,Shared-Everything,Intel,PL,2020,,"Industrial Research,Open Source","BSD 3-Clause ""New"" or ""Revised"" License",TieredMemDB/TieredMemDB,415886839,Y,,,2021-10-11T10:59:36Z
tigerbeetle,tigerbeetle,,X_Single,Y_auto,TigerBeetle,Relational,Zig,Custom API,Shared-Nothing,"Coil Technologies, Inc.",ZA,2020,,Open Source,Apache v2,coilhq/tigerbeetle,254418044,Y,,,2020-04-09T16:04:20Z
tikv,tikv,,X_Single,Y_auto,TiKV,Key-value,Rust,Custom API,Shared-Nothing,Cloud Nature Computing Foundation (CNCF),CN,2016,,Open Source,Apache v2,tikv/tikv,48833910,Y,,,2015-12-31T04:51:32Z
tile38,tile38,,X_Single,Y_auto,Tile38,,Go,"Custom API,HTTP / REST",Shared-Everything,Josh Baker,US,2016,,Open Source,MIT,tidwall/tile38,53171300,Y,,,2016-03-04T23:07:44Z
tiledb,tiledb,,X_Single,Y_auto,TileDB,Array,C++,"Custom API,SQL",Embedded,"TileDB Inc, Intel Labs",US,2014,,"Commercial,Open Source",MIT,TileDB-Inc/TileDB,86868560,Y,,,2017-03-31T23:44:23Z
timbala,timbala,,X_Single,Y_auto,Timbala,Relational,Go,"HTTP / REST,PromQL",,Matt Bostock,GB,2016,2018,"Hobby,Open Source",Apache v2,mattbostock/timbala,71015036,Y,,,2016-10-15T21:41:57Z
timber,timber,,X_Single,Y_auto,TIMBER,Document,,XQuery,,University of Michigan,US,,2006,"Academic,Open Source",-,-,-,Y,,,-
tingodb,tingodb,,X_Single,Y_auto,TingoDB,Document,JavaScript,Custom API,Embedded,PushOk Software,RU,2013,2019,Open Source,MIT,sergeyksv/tingodb,9525219,Y,,,2013-04-18T15:33:37Z
tinybase,tinybase,,X_Single,Y_auto,TinyBase,Relational,TypeScript,Custom API,Embedded,James Pearce,US,2021,,Open Source,MIT,tinyplex/tinybase,443220240,Y,,,2021-12-31T01:06:00Z
tinydb,tinydb,,X_Single,Y_auto,TinyDB,Document,Python,Custom API,Embedded,Markus Siemens,DE,2013,,Open Source,MIT,msiemens/tinydb,11380094,Y,,,2013-07-12T23:31:13Z
tinysql,tinysql,,X_Single,Y_auto,tinySQL,,Java,,,Brian Jepson,US,2003,2007,Open Source,-,-,-,Y,,,-
titan,titan,,X_Single,Y_auto,Titan,Graph,Java,Gremlin,,Aurelius,US,2012,2015,Open Source,Apache v2,thinkaurelius/titan,3548254,Y,,,2012-02-25T22:53:53Z
titan-nosql,titan-nosql,,X_Single,Y_auto,Titan,,Go,,,"Meitu, Inc.",CN,2018,,"Hobby,Open Source",Apache v2,meitu/titan,157514605,Y,,,2018-11-14T08:18:40Z
tokudb,tokudb,,X_Single,Y_auto,TokuDB,Relational,,,,Percona,US,2009,2022,"Commercial,Open Source",GPL v2,percona/tokudb-engine,9509125,Y,,,2013-04-17T22:43:56Z
tokumx,tokumx,,X_Single,Y_auto,TokuMX,,,,,Tokutek,US,,,"Commercial,Open Source","AGPL v3,Apache v2,GPL v2",Tokutek/mongo,8729689,Y,,,2013-03-12T14:28:56Z
tokyo-cabinet,tokyo-cabinet,,X_Single,Y_auto,Tokyo Cabinet,Key-value,C,Custom API,Embedded,FAL Labs,JP,2006,,Open Source,LGPL v2,LuaDist/tokyocabinet,953500,Y,,,2010-10-01T05:13:45Z
tokyo-tyrant,tokyo-tyrant,tokyo-tyrant,Normal,Y_auto,Tokyo Tyrant,Key-value,,,,Mikio  Hirabayashi,JP,2007,,Open Source,GPL,hthetiot/Tokyo-Tyrant,3502280,Y,0.11,338,2012-02-21T09:00:16Z
tomp2p,tomp2p,tomp2p,Normal,Y_auto,TomP2P,Key-value,Java,,,Thomas Bocek,CH,2004,,Open Source,Apache v2,tomp2p/TomP2P,3114475,Y,0.0,388,2012-01-06T00:10:28Z
tonbo,tonbo,,X_Single,Y_auto,Tonbo,Key-value,Rust,Custom API,Embedded,Tzu Gwo,CN,2024,,"Hobby,Open Source",Apache v2,tonbo-io/tonbo,828742634,Y,,,2024-07-15T03:23:00Z
torodb,torodb,torodb,X_Single,Y_auto,ToroDB,Document,Java,,Shared-Everything,8Kdata,ES,2016,,Open Source,AGPL v3,torodb/server,86339169,Y,,,2017-03-27T13:33:08Z
toydb,toydb,,X_Single,Y_auto,toyDB,Relational,Rust,SQL,Shared-Nothing,Erik Grinaker,NO,2019,,"Educational,Open Source",Apache v2,erikgrinaker/toydb,183929744,Y,,,2019-04-28T16:02:59Z
trafodion,trafodion,trafodion,X_Single,Y_auto,Trafodion,Wide column,"C++,Java",SQL,,Hewlett-Packard Company,US,2014,2021,Open Source,Apache v2,apache/trafodion,36349344,Y,,,2015-05-27T07:00:05Z
traildb,traildb,,X_Single,Y_auto,TrailDB,Relational,C,Custom API,Embedded,AdRoll Inc.,US,2014,,"Commercial,Open Source",MIT,traildb/traildb,22868877,Y,,,2014-08-12T07:34:48Z
treodedb,treodedb,,X_Single,Y_auto,TreodeDB,Key-value,Scala,,,"Treode, Inc.",US,2012,2015,"Commercial,Open Source",Apache v2,Treode/store,13677899,Y,,,2013-10-18T12:50:58Z
trino,trino,trino,Normal,Y_auto,Trino,Relational,Java,SQL,Shared-Disk,Trino Software Foundation,US,2019#dbdbio>|<dbengines#2012,,Open Source,Apache v2.0,trinodb/trino,166515022,Y,5.47,62,2019-01-19T06:38:14Z
trousseau,trousseau,,X_Single,Y_auto,Trousseau,Key-value,Go,Command-line / Shell,Shared-Everything,Théo Crevon,DE,2013,,Open Source,MIT,oleiade/trousseau,12106192,Y,,,2013-08-14T10:22:25Z
ts-sql,ts-sql,,X_Single,Y_auto,ts-sql,Relational,TypeScript,SQL,Embedded,Charles Pick,GB,2020,,"Hobby,Open Source",,codemix/ts-sql,296950535,Y,,,2020-09-19T20:57:43Z
tugraph,tugraph,,X_Single,Y_auto,TuGraph,Graph,C++,Cypher,Shared-Everything,"Alibaba, Tsinghua University",CN,2021,,Open Source,Apache v2,TuGraph-family/tugraph-db,528766495,Y,,,2022-08-25T08:46:43Z
twig,twig,,X_Single,Y_auto,Twig,Object Oriented,Java,,,John Patterson,US,2009,2013,Open Source,Apache v2,google-code-export/twig-persist,32137101,Y,,,2015-03-13T07:01:33Z
typedb,typedb,typedb,Normal,Y_auto,TypeDB,Graph,,Custom API,,Vaticle,GB,2016,2024,"Commercial,Open Source","AGPL v3#dbdbio>|<dbengines#GPL Version 3, commercial licenses available",typedb/typedb,63110867,Y,0.66,227,2016-07-11T23:59:57Z
typhoon,typhoon,,X_Single,Y_auto,Typhoon,Relational,C,,,"Thomas B. Pedersen, Kaz Kylheku",DK,1996,1999,Open Source,MIT,jonahharris/osdb-typhoon,119234429,Y,,,2018-01-28T06:33:32Z
unqlite,unqlite,,X_Single,Y_auto,UnQLite,"Key-value,Document",C,,Embedded,Symisc Systems,TN,,,"Commercial,Open Source",Other,symisc/unqlite,22761491,Y,,,2014-08-08T15:03:23Z
upscaledb,upscaledb,upscaledb,Normal,Y_auto,upscaledb,Key-value,"C,C++",,,Christoph Rupp,DE,2007,,"Commercial,Open Source",Apache v2,cruppstahl/upscaledb,811881,Y,0.0,388,2010-08-02T08:13:41Z
vald,vald,vald,Normal,Y_auto,Vald,Vector,Go,"Custom API,HTTP / REST",Shared-Disk,Vald Team,JP,2019,,Open Source,Apache v2.0,vdaas/vald,195619075,Y,0.31,279,2019-07-07T06:42:22Z
valkey,valkey,,X_Single,Y_auto,Valkey,Key-value,C,Custom API,Shared-Everything,Linux Foundation,US,2024,,Open Source,BSD,valkey-io/valkey,775743011,Y,,,2024-03-22T00:42:17Z
vanilladb,vanilladb,,X_Single,Y_auto,VanillaDB,Multivalue,Java,"Custom API,SQL,Stored Procedures",Shared-Everything,National Tsing Hua University,TW,2016,,"Academic,Open Source",Apache v2,vanilladb/vanillacore,61269853,Y,,,2016-06-16T07:01:25Z
vearch,vearch,,X_Single,Y_auto,Vearch,"Document,Vector",C++,HTTP / REST,Shared-Nothing,JD.com,CN,2019,,Open Source,Apache v2,vearch/vearch,186332888,Y,,,2019-05-13T02:37:31Z
vectordb,vectordb,,X_Single,Y_auto,VectorDB,"Document,Vector",Python,HTTP / REST,"Shared-Everything,Embedded",Jina,ES,2023,,"Commercial,Open Source",Apache v2,jina-ai/vectordb,635374751,Y,,,2023-05-02T14:59:09Z
vectordb-kagi,vectordb-kagi,,X_Single,Y_auto,VectorDB,"Document,Vector",Python,Custom API,Embedded,Kagi,US,2023,,Open Source,MIT,kagisearch/vectordb,632269609,Y,,,2023-04-25T04:13:24Z
vectorsql,vectorsql,,X_Single,Y_auto,VectorSQL,Relational,Go,SQL,,Bohu Tang,CN,2020,2021,"Hobby,Open Source",Apache v2,vectorengine/vectorsql,234910993,Y,,,2020-01-19T14:11:49Z
velarixdb,velarixdb,,X_Single,Y_auto,VelarixDB,Key-value,Rust,Custom API,Embedded,Adewumi Sunkanmi,NG,2024,,"Hobby,Open Source",MIT,Gifted-s/velarixdb,840308148,Y,,,2024-08-09T12:17:30Z
velox,velox,,X_Single,Y_auto,Velox,Relational,C++,Custom API,Embedded,Meta,US,2020,,"Industrial Research,Open Source",Apache v2,facebookincubator/velox,388946490,Y,,,2021-07-23T23:00:23Z
veloxdb,veloxdb,,X_Single,Y_auto,VeloxDB,Object Oriented,C#,Custom API,Shared-Everything,VeloxDB,RS,2022,,"Commercial,Open Source",MIT,VeloxDB/VeloxDB,569871553,Y,,,2022-11-23T20:06:33Z
venndb,venndb,,X_Single,Y_auto,VennDB,Relational,Rust,Custom API,Embedded,Plabayo,BE,2023,,Open Source,"Apache v2,MIT",plabayo/venndb,618452402,Y,,,2023-03-24T13:55:31Z
vertexdb,vertexdb,,X_Single,Y_auto,VertexDB,Graph,,,,"Steve Dekorte, Rich Collins",US,,,"Hobby,Open Source",Other,stevedekorte/vertexdb,238509,Y,,,2009-06-29T01:03:15Z
vespa,vespa,vespa,Normal,Y_auto,Vespa,Document#dbdbio>|<dbengines#Search Engine,C++,"Custom API,SQL",,Yahoo!,NO,1997,,Open Source,Apache v2,vespa-engine/vespa,60377070,Y,0.61,235,2016-06-03T20:54:20Z
victoriametrics,victoriametrics,victoriametrics,Normal,Y_auto,VictoriaMetrics,Wide column#dbdbio>|<dbengines#Time Series,Go,"Custom API,PromQL",,VictoriaMetrics,UA,2018,2023,Open Source,Apache v2.0,VictoriaMetrics/VictoriaMetrics,150954997,Y,1.29,160,2018-09-30T09:58:01Z
vitess,vitess,vitess,Normal,Y_auto,Vitess,Relational,Go,SQL,Shared-Nothing,"Youtube#dbdbio>|<dbengines#The Linux Foundation, PlanetScale",US,2011#dbdbio>|<dbengines#2013,2022,Open Source,"Apache v2.0, commercial licenses available",vitessio/vitess,11008207,Y,0.88,200,2013-06-27T21:20:28Z
viyadb,viyadb,,X_Single,Y_auto,ViyaDB,,C++,HTTP / REST,,Michael Spector,IL,2017,,Open Source,Apache v2,viyadb/viyadb,104114230,Y,,,2017-09-19T18:44:04Z
voldemort,voldemort,project-voldemort,Fuzzy:Normal,Y,Project Voldemort,Key-value,Java,Custom API,,LinkedIn,US,2009,2017,Open Source,Apache v2,voldemort/voldemort,214605,Y,0.3,282,2009-05-31T03:27:10Z
voltdb,voltdb,voltdb,Normal,Y_auto,VoltDB,Relational,"C++,Java","SQL,Stored Procedures",Shared-Nothing,VoltDB Inc.,US,2009#dbdbio>|<dbengines#2010,2022,"Commercial,Open Source","GPL v3,VoltDB Proprietary License#dbdbio>|<dbengines#AGPL for Community Edition, commercial license for Enterprise, AWS, and Pro Editions",VoltDB/voltdb,2445970,Y,1.37,156,
vsql,vsql,,X_Single,Y_auto,vsql,Relational,V,SQL,Shared-Everything,Elliot Chance,US,2021,,"Hobby,Open Source",MIT,elliotchance/vsql,387622288,Y,,,2021-07-19T23:55:45Z
vyhodb,vyhodb,,X_Single,Y_auto,vyhodb,Network,Java,Custom API,"Shared-Everything,Embedded",Igor Vykhodtsev,RU,2012,2020,"Hobby,Open Source",Microsoft Reference Source License,igor-bul/vyhodb,531145841,Y,,,2022-08-31T15:30:48Z
warp-10,warp-10,warp-10,Normal,Y_auto,Warp 10,Time Series,Java,Custom API,,SenX S.A.S.,FR,2013#dbdbio>|<dbengines#2015,,"Commercial,Open Source",Apache v2.0,senx/warp10-platform,50594316,Y,0.06,349,2016-01-28T15:56:55Z
weaviate,weaviate,weaviate,Normal,Y_auto,Weaviate,Vector,"Assembly,C++,Go",,Shared-Everything,"Weaviate, B.V.",NL,2016#dbdbio>|<dbengines#2019,2023,"Commercial,Open Source",BSD#dbdbio>|<dbengines#commercial license available with Weaviate Enterprise,semi-technologies/weaviate,55072677,Y,1.65,138,2016-03-30T15:03:17Z
webscalesql,webscalesql,,X_Single,Y_auto,WebScaleSQL,,,,,"Facebook, Google, LinkedIn, Twitter, Alibaba Group","CN,US",2014,2016,Open Source,GPL v2,webscalesql/webscalesql-5.6,13887383,Y,,,2013-10-26T17:09:24Z
whitedb,whitedb,whitedb,Normal,Y_auto,WhiteDB,Network#dbdbio>|<dbengines#Document,C,Custom API,Embedded,"Priit Järv, Tanel Tammet",EE,2008,,"Hobby,Open Source",GPL v3,priitj/whitedb,10153163,Y,0.0,388,2013-05-19T08:59:41Z
wiredtiger,wiredtiger,,X_Single,Y_auto,WiredTiger,Key-value,C,"Custom API,Command-line / Shell",Embedded,WiredTiger Inc.,"AU,US",2008,,"Commercial,Open Source","GPL v2,GPL v3",wiredtiger/wiredtiger,2944302,Y,,,2011-12-09T00:43:19Z
wonderdb,wonderdb,,X_Single,Y_auto,WonderDB,Relational,Java,SQL,Shared-Everything,Vilas Athavale,US,2013,2015,"Hobby,Open Source",,dreamdbvilas/wonderdb,8544988,Y,,,2013-03-04T00:15:29Z
xap,xap,,X_Single,Y_auto,XAP,Key-value,Java,"Custom API,SQL",Shared-Nothing,GigaSpaces,US,2000,,"Commercial,Open Source",Apache v2,xap/xap,65259211,Y,,,
xapian,xapian,xapian,Normal,Y_auto,Xapian,Document#dbdbio>|<dbengines#Search Engine,C++,Custom API,Embedded,BrightStation,GB,2001#dbdbio>|<dbengines#1986,2024,"Commercial,Open Source",GPL v2,xapian/xapian,735981,Y,0.71,221,2010-06-23T15:51:03Z
xodus,xodus,,X_Single,Y_auto,Xodus,Document,"Java,Kotlin",,Embedded,JetBrains,RU,2014,,Open Source,Apache v2,JetBrains/xodus,19271154,Y,,,2014-04-29T09:36:04Z
xtdb,xtdb,xtdb,Normal,Y_auto,XTDB,Document,Clojure,"SQL,Datalog",Shared-Disk,JUXT Ltd.,GB,2018#dbdbio>|<dbengines#2019,2021,"Commercial,Open Source",MIT,xtdb/xtdb,125824259,Y,0.14,327,2018-03-19T08:19:27Z
ydb,ydb,ydb,Normal,Y_auto,YDB,Relational#dbdbio>|<dbengines#Document,C++,"SQL,HTTP / REST,RPC",Shared-Disk,Yandex,RU,2014#dbdbio>|<dbengines#2019,,"Commercial,Open Source",Apache v2.0; commercial license available,ydb-platform/ydb,456549280,Y,0.4,267,2022-02-07T14:52:36Z
yottadb,yottadb,yottadb,Normal,Y_auto,YottaDB,Key-value,C,Custom API,Embedded,"YottaDB, LLC",US,2001,,"Commercial,Open Source",AGPL v3.0,YottaDB/YDB,96138741,Y,0.18,316,2017-07-03T18:21:23Z
yugabytedb,yugabytedb,yugabytedb,Normal,Y_auto,YugabyteDB,"Relational,Key-value",C++,"Custom API,PL/SQL",Shared-Nothing,"Yugabyte, Inc.",US,2016#dbdbio>|<dbengines#2017,2023,"Commercial,Open Source",Apache v2.0,yugabyte/yugabyte-db,105944401,Y,2.46,108,2017-10-05T21:56:00Z
zerodb,zerodb,,X_Single,Y_auto,ZeroDB,Document,Python,Custom API,,ZeroDB Inc.,US,2015,2017,"Commercial,Open Source",AGPL v3,zerodb/zerodb,47479424,Y,,,2015-12-06T01:29:13Z
zodb,zodb,zodb,Normal,Y_auto,ZODB,Object Oriented#dbdbio>|<dbengines#Key-value,Python,Custom API,Shared-Everything,Zope Foundation,US,2002#dbdbio>|<dbengines#2009,2023,Open Source,Zope Public License,zopefoundation/ZODB,7357595,Y,0.81,207,2012-12-28T17:47:39Z
zoodb,zoodb,,X_Single,Y_auto,ZooDB,Object Oriented,Java,Custom API,,Tilmann Zäschke,CH,2008,,Open Source,GPL v3,tzaeschke/zoodb,3893984,Y,,,2012-04-01T17:08:29Z
zookeeper,zookeeper,,X_Single,Y_auto,Zookeeper,Hierarchical,Java,Command-line / Shell,Shared-Nothing,Apache Foundation,US,2008,,Open Source,Apache v2,apache/zookeeper,160999,Y,,,2009-03-27T15:41:56Z
adabas,,adabas,Y_Single,Y_auto,Adabas,Multivalue,,,,Software AG,,1971,,,ISC License,jrmarino/AdaBase,34215181,N,2.62,103,2015-04-19T16:50:09Z
altibase,altibase,altibase,Y_Single,Y_auto,Altibase,Relational,"C,C++",SQL,Shared-Nothing,Altibase,KR,1999,2023,"Commercial,Open Source",Open source edition discontinued with March 2023,ALTIBASE/altibase,623337117,N,0.86,205,2023-04-04T07:06:53Z
apache-flink,,apache-flink,Y_Single,Y_auto,Apache Flink,Relational,,,,Apache Software Foundation and contributors,,,2024,,Apache License 2.0,apache/flink,20587599,Y,10.92,40,2014-06-07T07:00:10Z
apache-sedona,,apache-sedona,Y_Single,Y_auto,Apache Sedona,Spatial,,,,Apache Software Foundation and contributors,,2020,,,Apache Version 2.0,apache/sedona,34533675,Y,0.32,278,2015-04-24T18:01:29Z
