DBMS_urnform,X_DBMS_urnform,Y_DBMS_urnform,match_state,manu_labeled_flag,DBMS_common_name,category_label,Written in,Query Interface,System Architecture,Developer,Country of Origin,initial_release_year,current_release_year,Project Type,License_info,github_repo_link,github_repo_id,open_source_license,Score_Oct-2024,Rank_Oct-2024,repo_created_at
memgraph,memgraph,memgraph,Normal,Y_auto,Memgraph,Graph,"C,C++",Cypher,Shared-Nothing,Dominik Tomicevic and Marko Budiselic#dbdbio>|<dbengines#Memgraph Ltd,GB,2016#dbdbio>|<dbengines#2017,,"Commercial,Open Source",Business Source License#dbdbio>|<dbengines#BSL 1.1; commercial license for enterprise edition available,memgraph/memgraph,297302063,Y,2.82,96,2020-09-21T10:14:04Z
memstate,memstate,,X_Single,Y_auto,Memstate,Object Oriented,C#,Custom API,Shared-Everything,Devrex Labs,SE,2017,,"Commercial,Open Source","GPL v3,LGPL v3",devrexlabs/memstate,95070401,Y,,,2017-06-22T03:24:57Z
mentat,mentat,,X_Single,Y_auto,Mentat,Relational,Rust,,,Mozilla,US,2016,,Open Source,Apache v2,mozilla/mentat,62660036,Y,,,2016-07-05T18:29:34Z
metalbase,metalbase,,X_Single,Y_auto,MetalBase,Relational,C,,Shared-Everything,Richard P Jernigan IV,US,,1994,Open Source,,apavlo/metalbase,134193743,Y,,,2018-05-20T23:01:38Z
milvus,milvus,milvus,Normal,Y_auto,Milvus,Vector,Go,Custom API,,The Milvus Project,CN,2019,2024,Open Source,Apache v2.0,milvus-io/milvus,208728772,Y,3.02,90,2019-09-16T06:43:43Z
mimir,mimir,,X_Single,Y_auto,Mimir,Relational,Go,"HTTP / REST,PromQL",Shared-Disk,Grafana Labs,GB,2016,,"Commercial,Open Source",AGPL v3,grafana/mimir,385634291,Y,,,2021-07-13T14:34:08Z
mldb,mldb,,X_Single,Y_auto,MLDB,,C++,"SQL,HTTP / REST",,MLDB.ai,CA,2015,,"Commercial,Open Source",Apache v2,mldbai/mldb,47634692,Y,,,2015-12-08T16:34:16Z
mnesia,mnesia,mnesia,Normal,Y_auto,Mnesia,Relational#dbdbio>|<dbengines#Document,Erlang,Custom API,Shared-Nothing,Ericsson,FI,1999,2018,Open Source,proprietary license,beardedeagle/mnesiac,141378316,Y,1.22,165,2018-07-18T03:51:54Z
modeshape,modeshape,modeshape,Normal,Y_auto,ModeShape,Object Oriented#dbdbio>|<dbengines#Content,Java,"Custom API,SQL,HTTP / REST",,Red Hat,US,2008#dbdbio>|<dbengines#2010,,"Commercial,Open Source",Apache v2,ModeShape/modeshape,1244027,Y,0.34,274,2011-01-12T02:30:46Z
mondrian,mondrian,,X_Single,Y_auto,Mondrian,Relational,Java,,,Pentaho,US,2002,,"Commercial,Open Source",Eclipse Public License,pentaho/mondrian,3766330,Y,,,2012-03-19T17:03:39Z
monetdb,monetdb,monetdb,Normal,Y_auto,MonetDB,Wide column#dbdbio>|<dbengines#Relational,C,SQL,,CWI#dbdbio>|<dbengines#MonetDB BV,NL,2002#dbdbio>|<dbengines#2004,2023,"Academic,Open Source",Mozilla Public License 2.0,MonetDB/MonetDB,316690542,Y,1.7,135,2020-11-28T08:35:36Z
mongodb,mongodb,mongodb,Multiple:Normal,Y_ConflictResolved,MongoDB,Document,"C++,JavaScript,Python",Custom API,Shared-Nothing,MongoDB Inc.,US,2009,2024,"Commercial,Open Source",Server Side Public License#dbdbio>|<dbengines#MongoDB Inc.'s Server Side Public License v1. Prior versions were published under GNU AGPL v3.0. Commercial licenses are also available.,mongodb/mongo,108110,Y,405.21,5,2009-01-15T16:15:18Z
mulgara,mulgara,mulgara,Normal,Y_auto,Mulgara,RDF,Java,SPARQL,,,US,2006,2012,Open Source,Open Software License 3.0#dbdbio>|<dbengines#Apache Version 2,quoll/mulgara,16710751,Y,0.08,342,2014-02-10T21:56:20Z
mutable,mutable,,X_Single,Y_auto,mutable,,,,,Saarland University,DE,2019,,"Academic,Open Source",GNU Affero General Public License v3.0,mutable-org/mutable,576351141,,,,2022-12-09T16:18:09Z
